Center,Date,Price,Rainfall,Temperature,Distance_km,Time_to_Market_proxy,Volatility_4m,Volatility_12m,Rainfall_lag1,Temperature_lag1,Rainfall_lag2,Temperature_lag2,Lockdown_2020Q2,Onion_Export_Ban
Kg,2013-06-01,21.272727272727273,219.8,27.46,,,5.848641856897029,11.975170602198794,219.8,27.46,219.8,27.46,0,0
Kg,2013-06-01,21.272727272727273,937.2,27.46,,,5.848641856897029,11.975170602198794,219.8,27.46,219.8,27.46,0,0
Kg,2013-07-01,33.0,310.0,27.46,,,5.848641856897029,11.975170602198794,937.2,27.46,219.8,27.46,0,0
Kg,2013-08-01,29.0,254.7,27.46,,,5.848641856897029,11.975170602198794,310.0,27.46,937.2,27.46,0,0
Kg,2013-09-01,37.12,152.7,27.46,,,6.753298714418812,11.975170602198794,254.7,27.46,310.0,27.46,0,0
Kg,2013-10-01,49.370370370370374,129.4,22.5,,,8.812497703547747,11.975170602198794,152.7,27.46,254.7,27.46,0,0
Kg,2013-10-01,49.370370370370374,150.1,22.5,,,9.983242319317835,11.975170602198794,129.4,22.5,152.7,27.46,0,0
Kg,2013-11-01,56.869565217391305,14.0,22.5,,,8.178550816035289,11.975170602198794,150.1,22.5,129.4,22.5,0,0
Kg,2013-12-01,28.708333333333332,6.7,22.5,,,12.10843499719181,11.975170602198794,14.0,22.5,150.1,22.5,0,0
Kg,2014-01-01,25.041666666666668,46.6,19.58,,,15.531039012258187,11.975170602198794,6.7,22.5,14.0,22.5,0,0
Kg,2014-01-01,25.041666666666668,19.2,19.58,,,15.400146434441815,11.975170602198794,46.6,19.58,6.7,22.5,0,0
Kg,2014-02-01,28.08695652173913,27.4,19.58,,,1.9541105955074127,11.975170602198794,19.2,19.58,46.6,19.58,0,0
Kg,2014-03-01,40.95454545454545,131.2,26.24,,,7.585962080173378,11.458096283220563,27.4,19.58,19.2,19.58,0,0
Kg,2014-03-01,40.95454545454545,36.1,26.24,,,8.400708813468325,10.644337808896946,131.2,26.24,27.4,19.58,0,0
Kg,2014-04-01,35.21739130434783,22.2,26.24,,,6.10889150857622,10.588446888962007,36.1,26.24,131.2,26.24,0,0
Kg,2014-05-01,19.608695652173914,72.9,26.24,,,10.086095474378176,11.54867693814614,22.2,26.24,36.1,26.24,0,0
Kg,2014-06-01,24.36,95.4,27.88,,,9.7810548139209,12.049129970417683,72.9,26.24,22.2,26.24,0,0
Kg,2014-06-01,24.36,782.1,27.88,,,6.611524394601895,11.546397866870567,95.4,27.88,72.9,26.24,0,0
Kg,2014-07-01,18.032258064516128,261.2,27.88,,,3.26235571179383,11.095287756376251,782.1,27.88,95.4,27.88,0,0
Kg,2014-08-01,36.3,237.5,27.88,,,7.631722345062958,7.7543106451797525,261.2,27.88,782.1,27.88,0,0
Kg,2014-09-01,39.142857142857146,188.0,27.88,,,9.952329747814437,8.29820197774406,237.5,27.88,261.2,27.88,0,0
Kg,2014-10-01,39.22727272727273,60.2,22.47,,,10.186814695836706,8.571119171429189,188.0,27.88,237.5,27.88,0,0
Kg,2014-10-01,39.22727272727273,85.3,22.47,,,1.4501132127109484,8.661353862974316,60.2,22.47,188.0,27.88,0,0
Kg,2014-11-01,22.966666666666665,14.4,22.47,,,8.116331320349403,8.997827930712806,85.3,22.47,60.2,22.47,0,0
Kg,2014-12-01,29.7,10.7,22.47,,,7.935627721095768,8.518840118761467,14.4,22.47,85.3,22.47,0,0
Kg,2015-01-01,24.285714285714285,17.9,20.12,,,7.3870300636519355,8.051236240846254,10.7,22.47,14.4,22.47,0,0
Kg,2015-01-01,24.285714285714285,43.5,20.12,,,2.9923030513335984,7.947122627271742,17.9,20.12,10.7,22.47,0,0
Kg,2015-02-01,14.28,25.6,20.12,,,6.433208221969101,8.607945517700095,43.5,20.12,17.9,20.12,0,0
Kg,2015-03-01,36.96296296296296,36.1,26.29,,,9.292338751015313,8.885946505485263,25.6,20.12,43.5,20.12,0,0
Kg,2015-03-01,36.96296296296296,145.7,26.29,,,10.994594141271019,9.023124656647223,36.1,26.29,25.6,20.12,0,0
Kg,2015-04-01,33.464285714285715,42.1,26.29,,,10.884055313877226,8.207425981375264,145.7,26.29,36.1,26.29,0,0
Kg,2015-05-01,47.06666666666667,67.4,26.29,,,5.871370578344488,9.306617196930244,42.1,26.29,145.7,26.29,0,0
Kg,2015-06-01,41.5,164.6,27.73,,,5.884269464224085,9.487348074243275,67.4,26.29,42.1,26.29,0,0
Kg,2015-06-01,41.5,878.5,27.73,,,5.59870320768209,9.655180270105282,164.6,27.73,67.4,26.29,0,0
Kg,2015-07-01,47.096774193548384,284.5,27.73,,,3.2226312329868563,10.380085831455137,878.5,27.73,164.6,27.73,0,0
Kg,2015-08-01,47.645161290322584,257.5,27.73,,,3.3969901594794765,10.580948558930642,284.5,27.73,878.5,27.73,0,0
Kg,2015-09-01,25.133333333333333,171.9,27.73,,,10.51360438998198,10.882262045336837,257.5,27.73,284.5,27.73,0,0
Kg,2015-10-01,20.161290322580644,73.1,22.99,,,14.419548441925922,11.308725126662642,171.9,27.73,257.5,27.73,0,0
Kg,2015-10-01,20.161290322580644,121.6,22.99,,,13.124249655090143,11.708678843363328,73.1,22.99,171.9,27.73,0,0
Kg,2015-11-01,49.333333333333336,29.4,22.99,,,13.955580157067267,10.569575713704378,121.6,22.99,73.1,22.99,0,0
Kg,2015-12-01,43.12903225806452,19.0,22.99,,,15.26309240702595,10.70343942289138,29.4,22.99,121.6,22.99,0,0
Kg,2016-01-01,18.967741935483872,43.7,22.25,,,15.610574043508375,12.006930439701746,19.0,22.99,29.4,22.99,0,0
Kg,2016-01-01,18.967741935483872,17.6,22.25,,,15.943043242061558,13.0021601764518,43.7,22.25,19.0,22.99,0,0
Kg,2016-02-01,22.75862068965517,26.2,22.25,,,11.587461222617945,12.853397718621352,17.6,22.25,43.7,22.25,0,0
Kg,2016-03-01,31.82758620689655,34.4,28.86,,,6.067253966859956,12.57417123512032,26.2,22.25,17.6,22.25,0,0
Kg,2016-03-01,31.82758620689655,143.5,28.86,,,6.516736288233943,12.2307899446127,34.4,28.86,26.2,22.25,0,0
Kg,2016-04-01,26.433333333333334,42.8,28.86,,,4.436512446424198,11.236844816495514,143.5,28.86,34.4,28.86,0,0
Kg,2016-05-01,53.70967741935484,66.3,28.86,,,12.110073996772337,12.211615028744603,42.8,28.86,143.5,28.86,0,0
Kg,2016-06-01,47.333333333333336,168.8,28.44,,,12.812164741778528,13.028395068653223,66.3,28.86,42.8,28.86,0,0
Kg,2016-06-01,47.333333333333336,886.6,28.44,,,11.898650044247752,13.13494368864121,168.8,28.44,66.3,28.86,0,0
Kg,2016-07-01,62.516129032258064,287.7,28.44,,,7.187394569010293,14.595321771548482,886.6,28.44,168.8,28.44,0,0
Kg,2016-08-01,54.03225806451613,261.0,28.44,,,7.2039446496113895,14.989284418942916,287.7,28.44,886.6,28.44,0,0
Kg,2016-09-01,42.86666666666667,169.2,28.44,,,8.554199056692708,14.981688475529129,261.0,28.44,287.7,28.44,0,0
Kg,2016-10-01,57.03225806451613,76.0,24.2,,,8.278912416291401,14.559872857342096,169.2,28.44,261.0,28.44,0,0
Kg,2016-10-01,57.03225806451613,125.0,24.2,,,6.732993332373203,13.325751889541786,76.0,24.2,169.2,28.44,0,0
Kg,2016-11-01,30.333333333333332,29.2,24.2,,,12.858452367181252,12.342352276696221,125.0,24.2,76.0,24.2,0,0
Kg,2016-12-01,27.225806451612904,19.7,24.2,,,16.360957089027604,12.856063242373214,29.2,24.2,125.0,24.2,0,0
Kg,2017-01-01,20.580645161290324,44.7,21.84,,,16.017976987529916,14.225319562365756,19.7,24.2,29.2,24.2,0,0
Kg,2017-01-01,20.580645161290324,18.2,21.84,,,4.9007049971717045,14.958878155835292,44.7,21.84,19.7,24.2,0,0
Kg,2017-02-01,14.62962962962963,26.6,21.84,,,5.146270327428223,16.66287534759522,18.2,21.84,44.7,21.84,0,0
Kg,2017-03-01,26.275862068965516,142.6,28.41,,,4.755127872431725,16.941180843846368,26.6,21.84,18.2,21.84,0,0
Kg,2017-03-01,26.275862068965516,33.0,28.41,,,5.564433463009335,17.018735589610646,142.6,28.41,26.6,21.84,0,0
Kg,2017-04-01,27.633333333333333,41.5,28.41,,,6.083113419835387,15.05873321650256,33.0,28.41,142.6,28.41,0,0
Kg,2017-05-01,32.333333333333336,68.1,28.41,,,2.874621318603868,13.631535817552905,41.5,28.41,33.0,28.41,0,0
Kg,2017-06-01,37.833333333333336,897.7,28.5,,,5.232039344103174,13.337682814871595,68.1,28.41,41.5,28.41,0,0
Kg,2017-06-01,37.833333333333336,169.2,28.5,,,4.921635906891188,10.927788445760076,897.7,28.5,68.1,28.41,0,0
Kg,2017-07-01,29.193548387096776,294.8,28.5,,,4.278337073200413,6.824152747419975,169.2,28.5,897.7,28.5,0,0
Kg,2017-08-01,52.12903225806452,260.3,28.5,,,9.504657646486534,9.856176881074989,294.8,28.5,169.2,28.5,0,0
Kg,2017-09-01,45.41379310344828,173.4,28.5,,,9.87717679783193,10.844225691497211,260.3,28.5,294.8,28.5,0,0
Kg,2017-10-01,48.70967741935484,126.0,24.21,,,10.155709926350287,11.436540744845889,173.4,28.5,260.3,28.5,0,0
Kg,2017-10-01,48.70967741935484,78.1,24.21,,,2.741716596972668,11.489263488653727,126.0,24.21,173.4,28.5,0,0
Kg,2017-11-01,65.83333333333333,28.5,24.21,,,9.242666073560851,12.467438547772543,78.1,24.21,126.0,24.21,0,0
Kg,2017-12-01,47.291666666666664,19.3,24.21,,,8.823520156792664,11.848336127787407,28.5,24.21,78.1,24.21,0,0
Kg,2018-01-01,27.566666666666666,18.5,21.24,,,15.651049101148978,11.701524064424634,19.3,24.21,28.5,24.21,0,0
Kg,2018-01-01,27.566666666666666,45.0,21.24,,,18.372579678090336,11.708826687384684,18.5,21.24,19.3,24.21,0,0
Kg,2018-02-01,20.928571428571427,26.5,21.24,,,11.406477170570422,12.936798557538552,45.0,21.24,18.5,21.24,0,0
Kg,2018-03-01,34.03333333333333,138.7,28.16,,,5.350225516400421,13.060619327668837,26.5,21.24,45.0,21.24,0,0
Kg,2018-03-01,34.03333333333333,32.1,28.16,,,6.266108794582847,13.174976646940749,138.7,28.16,26.5,21.24,0,0
Kg,2018-04-01,26.9,39.5,28.16,,,6.3304582327135295,13.3631483166903,32.1,28.16,138.7,28.16,0,0
Kg,2018-05-01,29.483870967741936,67.0,28.16,,,3.533653606145477,13.079184271403387,39.5,28.16,32.1,28.16,0,0
Kg,2018-06-01,32.8,889.8,28.28,,,3.2350459078146305,12.938742685980394,67.0,28.16,39.5,28.16,0,0
Kg,2018-06-01,32.8,171.9,28.28,,,2.861960468733438,12.433723455709707,889.8,28.28,67.0,28.16,0,0
Kg,2018-07-01,17.806451612903224,293.2,28.28,,,7.117867967179276,12.683500183042996,171.9,28.28,889.8,28.28,0,0
Kg,2018-08-01,26.483870967741936,259.4,28.28,,,7.098694510474131,7.457939848239182,293.2,28.28,171.9,28.28,0,0
Kg,2018-09-01,39.9,165.3,28.28,,,9.392040000230981,6.05613441815116,259.4,28.28,293.2,28.28,0,0
Kg,2018-10-01,44.645161290322584,79.2,23.55,,,12.302033585969843,7.4790626393084105,165.3,28.28,259.4,28.28,0,0
Kg,2018-10-01,44.645161290322584,126.8,23.55,,,8.586280538911469,8.412887374555284,79.2,23.55,165.3,28.28,0,0
Kg,2018-11-01,19.9,28.7,23.55,,,11.795758863219005,8.540638335089442,126.8,23.55,79.2,23.55,0,0
Kg,2018-12-01,16.580645161290324,18.9,23.55,,,15.304950893493187,9.577207802230951,28.7,23.55,126.8,23.55,0,0
Kg,2019-01-01,22.516129032258064,18.9,23.55,,,12.723751929496748,9.765964273629145,18.9,23.55,28.7,23.55,0,0
Kg,2019-02-01,23.857142857142858,18.9,23.55,,,3.208022922161098,9.879541925919511,18.9,23.55,18.9,23.55,0,0
Kg,2019-03-01,43.43333333333333,18.9,23.55,,,11.66118646399526,10.692319416155161,18.9,23.55,18.9,23.55,0,0
Kg,2019-04-01,36.7,18.9,23.55,,,10.140734442545394,10.828732853610598,18.9,23.55,18.9,23.55,0,0
Kg,2019-05-01,70.3225806451613,18.9,23.55,,,19.591772188852946,15.761456495316597,18.9,23.55,18.9,23.55,0,0
Kg,2019-06-01,35.5,18.9,23.55,,,16.26816223123492,14.924525067791194,18.9,23.55,18.9,23.55,0,0
Kg,2019-07-01,48.67741935483871,18.9,23.55,,,16.150712096189853,15.09687227721018,18.9,23.55,18.9,23.55,0,0
Kg,2019-08-01,63.516129032258064,18.9,23.55,,,15.562208726398124,16.908175527376258,18.9,23.55,18.9,23.55,0,0
Kg,2019-09-01,35.7,18.9,23.55,,,13.294502683273272,16.842921758051745,18.9,23.55,18.9,23.55,0,0
Kg,2019-10-01,51.46666666666667,18.9,23.55,,,11.41597920309303,17.1828627492773,18.9,23.55,18.9,23.55,0,0
Kg,2019-11-01,43.06666666666667,18.9,23.55,,,11.939160510117981,16.107889565466703,18.9,23.55,18.9,23.55,0,0
Kg,2019-12-01,32.03225806451613,18.9,23.55,,,8.594195218166266,14.522812111855336,18.9,23.55,18.9,23.55,0,0
Kg,2020-01-01,26.516129032258064,18.9,23.55,,,11.16874998470098,14.067918380469095,18.9,23.55,18.9,23.55,0,0
Kg,2020-02-01,15.068965517241379,18.9,23.55,,,11.650351442925821,15.304763922704591,18.9,23.55,18.9,23.55,0,0
Kg,2020-03-01,40.689655172413794,18.9,23.55,,,10.729545005966225,15.299181616344875,18.9,23.55,18.9,23.55,0,0
Kg,2020-04-01,29.11764705882353,18.9,23.55,,,10.513447163324575,15.672193182959086,18.9,23.55,18.9,23.55,1,0
Kg,2020-05-01,25.0,18.9,23.55,,,10.604410662048789,13.226490729701702,18.9,23.55,18.9,23.55,1,0
Kg,2020-06-01,20.9,18.9,23.55,,,8.529370060452552,14.042983904065375,18.9,23.55,18.9,23.55,1,0
Kg,2020-07-01,18.3,18.9,23.55,,,4.7431198274774236,14.281824085131454,18.9,23.55,18.9,23.55,0,0
Kg,2020-08-01,44.74193548387097,18.9,23.55,,,11.99242071893603,11.432639345608619,18.9,23.55,18.9,23.55,0,0
Kg,2020-09-01,65.16666666666667,18.9,23.55,,,22.074807862247933,14.950264022213462,18.9,23.55,18.9,23.55,0,0
Kg,2020-10-01,56.935483870967744,18.9,23.55,,,20.457202576141732,15.589528566832069,18.9,23.55,18.9,23.55,0,0
Kg,2020-11-01,41.46666666666667,18.9,23.55,,,10.974615892667885,15.519030894568786,18.9,23.55,18.9,23.55,0,0
Kg,2020-12-01,42.516129032258064,18.9,23.55,,,11.513733452799848,15.652101331557034,18.9,23.55,18.9,23.55,0,0
Kg,2021-01-01,18.870967741935484,18.9,23.55,,,15.723841031486032,16.198623251449064,18.9,23.55,18.9,23.55,0,0
Kg,2021-02-01,13.423076923076923,18.9,23.55,,,15.092185490919283,16.38764722715553,18.9,23.55,18.9,23.55,0,0
Kg,2021-03-01,24.166666666666668,18.9,23.55,,,12.633786594661336,16.537655644836473,18.9,23.55,18.9,23.55,0,0
Kg,2021-04-01,21.2,18.9,23.55,,,4.54472860363866,16.877782460248405,18.9,23.55,18.9,23.55,0,0
Kg,2021-05-01,16.153846153846153,18.9,23.55,,,4.846239315485737,17.429971490803027,18.9,23.55,18.9,23.55,0,0
